file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00173_1976_8320742_to_8321493,ཞེས་སོ།  ,zhes so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00173_1976_8320742_to_8321493.wav,STT_AB,3,9,0.751,wav16k/STT_AB00173_1976_8320742_to_8321493.wav,ཞེས་སོ།
STT_TT00751_0245_1393888_to_1397280,སྒོམ་བྱ་སྒོམ་བྱེད་ཀི་གནད་ཐམས་ཅད་རྟོགས་ན་ཡང་། ཁ་འདོན་མ་བརྗེད་ཟེ་གསུངས་འདུག་ཨ།  ,sgom bya sgom byed ki gnad thams cad rtogs na yang /_kha 'don ma brjed ze gsungs 'dug a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00751_0245_1393888_to_1397280.wav,STT_TT,3,78,3.392,wav16k/STT_TT00751_0245_1393888_to_1397280.wav,སྒོམ་བྱ་སྒོམ་བྱེད་ཀི་གནད་ཐམས་ཅད་རྟོགས་ན་ཡང་། ཁ་འདོན་མ་བྱེད་ཟེ་གསུངས་འདུག་བ།
STT_NS_M0289_0257_1565788_to_1568330,ཨ་ནས་ཆུ་ཚོད་དགུ་པ་ནང་ལ། ཨ་ནས་སོ་སོ་སོ་ཁྱིམ་ཚང་ཡིན་ནས་རེད།  ,a nas chu tshod dgu pa nang la/_a nas so so so khyim tshang yin nas red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0257_1565788_to_1568330.wav,STT_NS,3,59,2.542,wav16k/STT_NS_M0289_0257_1565788_to_1568330.wav,ཨ་ནས་ཆུ་ཚོད་དགུ་བ་ནང་ལ་ཨ་ནས་སོ་སོ་སོ་སོ་ཁྱིམ་ཚང་ཡིན་ནས་རེད།
STT_NS_M0289_0259_1578131_to_1586629,སོ་སོ་རང་སྦྱོང་བྱེད་ཡ་ཡིན་ན། ཨ་ནས་ཨ་ནས་དམིགས་སུ་བཀར་ནས་ད་རང་སྦྱོང་བྱེད་ས་ཅིག་ག་ལབ་དགོས་རེད་སྡོད་ས་གཅིག་ཡོད་རེད་ཡོད་བ། གློག་ག་དུས་སྤར་སྤར་རེད་རཱ།  ,so so rang sbyong byed ya yin na/_a nas a nas dmigs su bkar nas da rang sbyong byed sa cig ga lab dgos red sdod sa gcig yod red yod ba/_glog ga dus spar spar red rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0259_1578131_to_1586629.wav,STT_NS,3,146,8.498,wav16k/STT_NS_M0289_0259_1578131_to_1586629.wav,སོ་སོ་རང་སྦྱོང་བྱས་ཡིན་ན། ཨེ་ནས་ཨེ་ནས་དམིགས་སུ་བཀར་ནས་ད་རང་སྦྱོང་བྱེད་ས་ཅིག་ག་རེ་ལབ་དགོས་རེད། སྡོད་ས་གཅིག་ཡོད་རེད་ཡོད་བ། གློག་ག་དུས་ྤར་པར་རེད་རཱ།།
STT_PC0010_0026_181448_to_184424,ཨེ་ནས་འདིས་ཞེ་བོ་ཅིག་གི་སྐྱོན་བརྗོད་ཆེན་པོ་བྱེད་ཀི་རེད། གཟབ་གཟབ་བྱེད་དགོས་རེད་ཟེ་བྱས་བྱས།  ,e nas 'dis zhe bo cig gi skyon brjod chen po byed ki red/_gzab gzab byed dgos red ze byas byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0010_0026_181448_to_184424.wav,STT_PC,3,91,2.976,wav16k/STT_PC0010_0026_181448_to_184424.wav,ཨེ་ནས་འདི་ཞེ་བོ་ཅིག་གིས་སྐྱོན་བརྗོད་ཆེན་པོ་བྱེད་ཀི་རེད། གཟབ་གཟབ་བྱེད་དགོས་རེད་ཟེ་བྱས་བྱས།
STT_AB00162_0223_647822_to_649577,གཡང་ས་ཐ་མལ་ཆུང་དུ་ལའང་།  ,g.yang sa tha mal chung du la'ang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00162_0223_647822_to_649577.wav,STT_AB,3,25,1.755,wav16k/STT_AB00162_0223_647822_to_649577.wav,གཡང་གསལ་ཐ་མལ་ཆུང་ངུ་ལ་ཡང་།
STT_NS_M0289_0264_1614844_to_1617479,ཁྱིམ་ཚང་བཞི་ཡོད་རཱ། བཞི་སྒྲོམ་ཨ་གཞི་སྒྲོམ་གང་ཚང་གཏོར་བྱས།  ,khyim tshang bzhi yod rA/_bzhi sgrom a gzhi sgrom gang tshang gtor byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0264_1614844_to_1617479.wav,STT_NS,3,59,2.635,wav16k/STT_NS_M0289_0264_1614844_to_1617479.wav,ཁྱིམ་ཚང་བཞི་ཡོད་རཱ། ྲོམབཞུ་སྒྲོམ་གང་ཚང་གཏོར་བྱས།
STT_TT00760_0158_1034935_to_1040647,ཡུལ་ཅན་དབུ་མའི་ལྟ་བ་དེ། དག་མ་དག་པའི་ཤན་འབྱེད། ཨེ། བདེ་བླག་ཏུ་ཤེས་འགྲོ་གི་ཡོད་རེད། བྱས་ཙང་དེ་ཡིན་དུས།  ,yul can dbu ma'i lta ba de/_dag ma dag pa'i shan 'byed/_e/_bde blag tu shes 'gro gi yod red/_byas tsang de yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00760_0158_1034935_to_1040647.wav,STT_TT,3,102,5.712,wav16k/STT_TT00760_0158_1034935_to_1040647.wav,ཡུལ་ཅན་དབུ་མའི་ལྟ་བ་དེ། དག་མ་དག་གི་ཤན་འབྱེད་ཨ བདེ་བླག་ཏུ་ཤད་འགྲོ་གི་ཡོད་རེད། བྱས་ཙང་དེ་ཡིན་དུས།
STT_NS_M0289_0267_1637474_to_1640376,དགོན་པ་བུ་གུ་ཡིན་ནས་རེད། ད་ག་རེ་ཡིན་ནས། ཁོང་ཚོ་སློབ་གྲྭ་དང་སྡོད་ཁང་དཔེ།  ,dgon pa bu gu yin nas red/_da ga re yin nas/_khong tsho slob grwa dang sdod khang dpe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0267_1637474_to_1640376.wav,STT_NS,3,73,2.902,wav16k/STT_NS_M0289_0267_1637474_to_1640376.wav,དྒོན་པ་པུ་ཡིན་ནས་རེད། ད་ག་རེ་ཡིན་ནས་ཁོ་ཚོ་སློབ་གྲྭ་དང་སྡོད་ཁང་དཔེ།
STT_NS_M0289_0274_1679722_to_1682068,སྔན་མ་ཡིན་ན་ལྟ་བཞག་ན་ཚ་བོ་ཚ་བོ་འདྲ་བོ་སྤྲད་ཀི་རེད་ཡོད་བ་མཚམས་མཚམས་ད།  ,sngan ma yin na lta bzhag na tsha bo tsha bo 'dra bo sprad ki red yod ba mtshams mtshams da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0289_0274_1679722_to_1682068.wav,STT_NS,3,70,2.346,wav16k/STT_NS_M0289_0274_1679722_to_1682068.wav,སྔན་མ་ཡིན་ན་ལྟ་བཞག་ན་ཚ་བོ་ཚ་བོ་འདྲ་བོ་སྤྲད་ཀི་རེད་ཡོད་བ མཚམས་མཚམས་ད།
